Year;Month;Quarter;CPI (2015 = 100);Derived CPI (2015 = 100);Year-on-year change CPI (%);Year-on-year change Derived CPI (%)
2010;6;2;91,6;93,7;0,8;0,6
2010;7;3;91,34;93,44;1,6;1,4
2010;8;3;91,48;93,58;1,5;1,3
2010;9;3;92,05;94,17;1,6;1,4
2010;10;4;92,13;94,27;1,6;1,4
2010;11;4;92,02;94,16;1,6;1,4
2010;12;4;91,82;93,96;1,9;1,7
2011;1;1;91,72;93,8;1,9;1,8
2011;2;1;92,41;94,5;1,9;1,8
2011;3;1;93,46;95,54;1,8;1,7
2011;4;2;93,96;96,01;2;1,9
2011;5;2;94,03;96,05;2,2;2
2011;6;2;93,57;95,58;2,2;2
2011;7;3;94,04;96;3;2,7
2011;8;3;94,19;96,15;3;2,7
2011;9;3;94,53;96,48;2,7;2,5
2011;10;4;94,57;96,52;2,6;2,4
2011;11;4;94,28;96,23;2,5;2,2
2011;12;4;94,04;95,98;2,4;2,1
2012;1;1;93,99;95,83;2,5;2,2
2012;2;1;94,7;96,55;2,5;2,2
2012;3;1;95,78;97,66;2,5;2,2
2012;4;2;96,17;98,06;2,4;2,1
2012;5;2;96,03;97,91;2,1;1,9
2012;6;2;95,57;97,44;2,1;1,9
2012;7;3;96,2;98,02;2,3;2,1
2012;8;3;96,32;98,15;2,3;2,1
2012;9;3;96,72;98,55;2,3;2,1
2012;10;4;97,29;98,43;2,9;2
2012;11;4;96,89;98,03;2,8;1,9
2012;12;4;96,76;97,9;2,9;2
2013;1;1;96,78;97,35;3;1,6
2013;2;1;97,54;98,09;3;1,6
2013;3;1;98,58;99,13;2,9;1,5
2013;4;2;98,67;99,18;2,6;1,1
2013;5;2;98,69;99,21;2,8;1,3
2013;6;2;98,32;98,84;2,9;1,4
2013;7;3;99,15;99,68;3,1;1,7
2013;8;3;99,03;99,55;2,8;1,4
2013;9;3;99,08;99,61;2,4;1,1
2013;10;4;98,8;99,32;1,6;0,9
2013;11;4;98,31;98,84;1,5;0,8
2013;12;4;98,36;98,89;1,7;1
2014;1;1;98,15;98,32;1,4;1
2014;2;1;98,57;98,74;1,1;0,7
2014;3;1;99,39;99,57;0,8;0,4
