Year;Month;NotSeasonallyAdjusted_1;SeasonallyAdjusted_2;NotSeasonallyAdjusted_3;SeasonallyAdjusted_4;NotSeasonallyAdjusted_5;SeasonallyAdjusted_6;NotSeasonallyAdjusted_7;SeasonallyAdjusted_8;NotSeasonallyAdjusted_9;SeasonallyAdjusted_10;NotSeasonallyAdjusted_11;SeasonallyAdjusted_12;NotSeasonallyAdjusted_13;SeasonallyAdjusted_14
2003;1;8389;8439;7916;7993;473;446;     5.6;     5.3;3707;3658;    69.4;    69.8;    65.4;    66.1
2003;2;8450;8444;7958;7991;493;453;     5.8;     5.4;3650;3656;    69.8;    69.8;    65.8;    66.0
2003;3;8449;8440;7947;7971;502;470;     5.9;     5.6;3655;3664;    69.8;    69.7;    65.7;    65.9
2003;4;8386;8447;7904;7963;483;484;     5.8;     5.7;3721;3661;    69.3;    69.8;    65.3;    65.8
2003;5;8460;8458;7976;7964;484;494;     5.7;     5.8;3651;3653;    69.9;    69.8;    65.9;    65.8
2003;6;8473;8451;7969;7950;505;501;     6.0;     5.9;3641;3664;    69.9;    69.8;    65.8;    65.6
2003;7;8465;8463;7991;7957;474;505;     5.6;     6.0;3653;3656;    69.9;    69.8;    65.9;    65.7
2003;8;8504;8471;8009;7958;495;513;     5.8;     6.1;3618;3651;    70.2;    69.9;    66.1;    65.6
2003;9;8449;8458;7931;7937;518;521;     6.1;     6.2;3676;3667;    69.7;    69.8;    65.4;    65.5
2003;10;8462;8469;7939;7940;523;529;     6.2;     6.2;3667;3660;    69.8;    69.8;    65.5;    65.5
2003;11;8495;8467;7955;7930;539;538;     6.3;     6.4;3637;3665;    70.0;    69.8;    65.6;    65.4
2003;12;8435;8461;7919;7912;516;548;     6.1;     6.5;3700;3675;    69.5;    69.7;    65.3;    65.2
2004;1;8446;8475;7867;7921;580;555;     6.9;     6.5;3693;3664;    69.6;    69.8;    64.8;    65.3
2004;2;8493;8479;7906;7923;587;556;     6.9;     6.6;3649;3663;    70.0;    69.8;    65.1;    65.3
2004;3;8484;8481;7882;7914;602;567;     7.1;     6.7;3661;3664;    69.9;    69.8;    64.9;    65.2
2004;4;8464;8505;7872;7918;591;586;     7.0;     6.9;3684;3643;    69.7;    70.0;    64.8;    65.2
