ID;Year;Month;Quarter;Immigration_4;EmigrationIncludingAdministrativeC_5;TotalPopulationGrowth_7
0;2010;6;2;11394;9321;6802
1;2010;7;3;13240;12719;5540
2;2010;8;3;18983;12136;12540
3;2010;9;3;21545;12534;14590
4;2010;10;4;14360;9535;9463
5;2010;11;4;11839;10476;5851
6;2010;12;4;9726;10300;1680
7;2011;1;1;12347;9916;5343
8;2011;2;1;12624;8229;7870
9;2011;3;1;11918;9730;4919
10;2011;4;2;10028;10005;2974
11;2011;5;2;10228;9449;4608
12;2011;6;2;11026;10748;5037
13;2011;7;3;13878;14635;4030
14;2011;8;3;22165;14691;12892
15;2011;9;3;23533;12966;15606
16;2011;10;4;13445;11015;6250
17;2011;11;4;12164;10566;4346
18;2011;12;4;9606;11244;674
19;2012;1;1;12177;13313;932
20;2012;2;1;13142;10025;4410
21;2012;3;1;11210;11142;1941
22;2012;4;2;9485;9720;2133
23;2012;5;2;10082;10503;3066
24;2012;6;2;10680;12332;1866
25;2012;7;3;13579;15880;1862
26;2012;8;3;21709;14941;11609
27;2012;9;3;22205;12187;14443
28;2012;10;4;14687;12171;6116
29;2012;11;4;11222;11112;2651
30;2012;12;4;8196;11165;-1802
31;2013;1;1;12794;12020;1792
32;2013;2;1;12627;10331;2503
33;2013;3;1;11080;10227;1116
34;2013;4;2;10425;10973;797
35;2013;5;2;10865;10399;3209
36;2013;6;2;10771;10937;3130
37;2013;7;3;14771;16163;3167
38;2013;8;3;20993;14977;10590
39;2013;9;3;23882;14352;14197
40;2013;10;4;14825;12086;5686
41;2013;11;4;11648;10823;3490
42;2013;12;4;10091;12381;37
43;2014;1;1;14976;12514;4630
44;2014;2;1;14472;10217;6380
45;2014;3;1;12254;9974;4681
46;2014;4;2;12257;10537;4493
47;2014;5;2;10767;9720;4264
48;2014;6;2;12275;12231;4074
49;2014;7;3;14845;16745;2048
50;2014;8;3;21939;15208;10992
51;2014;9;3;26740;14716;16604
52;2014;10;4;16974;12994;7565
53;2014;11;4;12956;10000;5138
54;2014;12;4;12494;13006;568
55;2015;1;1;16024;13216;2029
56;2015;2;1;15306;10141;4505
57;2015;3;1;13989;11238;2675
58;2015;4;2;12792;10547;3291
59;2015;5;2;10697;9583;3648
60;2015;6;2;14257;13352;4040
61;2015;7;3;17251;17780;3189
62;2015;8;3;25795;15966;14008
63;2015;9;3;29016;13736;19360
64;2015;10;4;18968;11770;9573
65;2015;11;4;16009;9828;8421
66;2015;12;4;14511;12352;3655
67;2016;1;1;17415;13076;4560
68;2016;2;1;19595;11680;8330
69;2016;3;1;16507;11010;5907
